X,Y,exp_id,A1,A2,A3,A4,A5,A6
2,8,2,-63,-54,-64,-66,-56,-63
2,8,3,-67,-58,-67,-69,-60,-67
2,8,4,-65,-56,-65,-68,-58,-65
2,0,0,-55,-69,-58,-67,-69,-71
2,0,1,-51,-65,-55,-63,-66,-67
2,0,2,-50,-64,-53,-62,-64,-66
2,0,3,-50,-64,-54,-64,-64,-66
2,0,4,-57,-71,-60,-69,-71,-73
4,2,0,-60,-66,-54,-63,-65,-67
4,2,1,-60,-66,-54,-63,-65,-67
4,2,2,-63,-69,-58,-66,-68,-70
4,2,3,-58,-64,-53,-61,-63,-65
4,2,4,-59,-65,-53,-62,-64,-66
8,6,0,-62,-61,-59,-58,-56,-55
8,6,1,-66,-65,-62,-62,-60,-59
8,6,2,-68,-67,-65,-64,-62,-61
8,6,3,-59,-58,-55,-55,-53,-52
8,6,4,-65,-64,-62,-61,-49,-59
10,2,0,-63,-65,-58,-49,-62,-61
10,2,1,-61,-63,-56,-48,-65,-59
10,2,2,-63,-65,-57,-49,-63,-61
10,2,3,-69,-71,-63,-55,-68,-67
10,2,4,-63,-65,-58,-50,-63,-61
10,4,0,-66,-67,-62,-58,-64,-61
10,4,1,-67,-69,-63,-59,-64,-62
10,4,2,-65,-65,-60,-56,-64,-60
10,4,3,-65,-66,-61,-57,-62,-60
10,4,4,-71,-71,-66,-62,-68,-66
10,8,0,-66,-64,-63,-62,-58,-50
10,8,1,-64,-62,-62,-60,-57,-48
10,8,2,-60,-58,-57,-56,-53,-44
10,8,3,-66,-64,-63,-62,-58,-50
10,8,4,-69,-67,-66,-65,-61,-53
6,6,0,-64,-62,-61,-62,-57,-60
6,6,1,-65,-64,-62,-64,-59,-62
6,6,2,-63,-61,-60,-61,-57,-59
6,6,3,-64,-62,-61,-62,-57,-60
6,6,4,-63,-61,-60,-61,-57,-59
0,0,0,-27,-67,-61,-67,-68,-70
0,0,1,-30,-70,-65,-71,-71,-73
0,0,2,-29,-68,-63,-68,-69,-72
0,0,3,-25,-65,-59,-65,-66,-68
0,0,4,-23,-63,-57,-63,-64,-66
8,4,0,-59,-61,-54,-55,-57,-56
8,4,1,-66,-67,-61,-60,-63,-63
8,4,2,-64,-65,-59,-58,-61,-61
8,4,3,-65,-66,-60,-59,-62,-62
8,4,4,-63,-64,-58,-57,-60,-60
